1,Josh AllenBUF,1.5
2,Bijan RobinsonATL,2.6
3,Drake MayeNE,3.4
4,Ja'Marr ChaseCIN,4.4
5,Jahmyr GibbsDET,5.9
6,Puka NacuaLAR,6.4
7,Jaxon Smith-NjigbaSEA,7.5
8,Jayden DanielsWSH,8
9,Amon-Ra St. BrownDET,9.1
10,Joe BurrowCIN,10.4
11,Lamar JacksonBAL,11.8
12,Malik NabersNYG,12.8
13,Brock BowersLV,13.2
14,Caleb WilliamsCHI,14.1
15,Trey McBrideARI,15.4
16,Justin JeffersonMIN,16.3
17,Ashton JeantyLV,17.6
18,Jeremiyah LoveARI,19
19,CeeDee LambDAL,19.5
20,De'Von AchaneMIA,20.3
21,Omarion HamptonLAC,21.2
22,Drake LondonATL,22.6
23,Jaxson DartNYG,23.4
24,Justin HerbertLAC,24.3
25,Jalen HurtsPHI,25.9
26,Patrick MahomesKC,26.9
27,Jonathan TaylorIND,27.9
28,Tetairoa McMillanCAR,28.4
29,Colston LovelandCHI,29.1
30,James CookBUF,30.4
31,Trevor LawrenceJAX,32
32,George PickensDAL,32.4
33,Bo NixDEN,33.5
34,Nico CollinsHOU,34.2
35,Chris OlaveNO,35
36,Brock PurdySF,36.9
37,Emeka EgbukaTB,37.2
38,Tyler WarrenIND,38.7
39,Fernando MendozaLV,39.9
40,Garrett WilsonNYJ,40.2
41,Chase BrownCIN,41.2
42,TreVeyon HendersonNE,42.5
43,Christian McCaffreySF,43.9
44,Dak PrescottDAL,44.9
45,Ladd McConkeyLAC,45.6
46,Harold Fannin Jr.CLE,46.8
47,Kenneth Walker IIIKC,47.1
48,Breece HallNYJ,48.8
49,Jordan LoveGB,49
50,Carnell TateTEN,50.8
51,Bucky IrvingTB,51.2
52,Rashee RiceKC,53
53,Quinshon JudkinsCLE,53.9
54,Luther Burden IIICHI,54.1
55,Rome OdunzeCHI,55.4
56,Saquon BarkleyPHI,56.7
57,Jordyn TysonNO,57.2
58,Tucker KraftGB,58.2
59,Marvin Harrison Jr.ARI,59.1
60,A.J. BrownNE,60.4
61,Tee HigginsCIN,61.9
62,Brian Thomas Jr.JAX,63
63,Kyren WilliamsLAR,63.2
64,Baker MayfieldTB,64.6
65,Jared GoffDET,65.1
66,Zay FlowersBAL,67
67,Makai LemonPHI,67.8
68,Sam LaPortaDET,69
69,Jameson WilliamsDET,69.9
70,Javonte WilliamsDAL,70.7
71,Josh JacobsGB,71.1
72,Cameron WardTEN,72
73,Travis Etienne Jr.NO,74
74,DeVonta SmithPHI,74
75,Cam SkatteboNYG,75.3
76,C.J. StroudHOU,76.3
77,Kyle Pitts Sr.ATL,77.2
78,Tyler ShoughNO,78.2
79,Jaylen WaddleDEN,79.6
80,Sam DarnoldSEA,80.7
81,Jadarian PriceSEA,81.5
82,RJ HarveyDEN,82.8
83,Derrick HenryBAL,83.4
84,Kyler MurrayMIN,84.1
85,K.C. ConcepcionCLE,84.5
86,Oronde Gadsden IILAC,85.7
87,Kenyon SadiqNYJ,87
88,Bryce YoungCAR,87.8
89,Matthew StaffordLAR,88.3
90,DJ MooreBUF,89.2
91,Alec PierceIND,90.8
92,Michael WilsonARI,91.1
93,Daniel JonesIND,93
94,Malik WillisMIA,93
95,Omar Cooper Jr.NYJ,94.9
96,Jordan AddisonMIN,96.1
97,Christian WatsonGB,97.2
98,Wan'Dale RobinsonTEN,99
99,D'Andre SwiftCHI,99.8
100,Dalton KincaidBUF,100.3
101,Ricky PearsallSF,101.4
102,DK MetcalfPIT,102
103,Ty SimpsonLAR,104
104,Kyle MonangaiCHI,104.3
105,Davante AdamsLAR,105.3
106,Terry McLaurinWSH,107
107,Jake FergusonDAL,107.2
108,David MontgomeryHOU,108.9
109,Brenton StrangeJAX,110
110,Parker WashingtonJAX,111
111,Travis HunterJAX,111.8
112,Denzel BostonCLE,112.8
113,George KittleSF,113.2
114,Zach CharbonnetSEA,114.4
115,Jayden HigginsHOU,115.1
116,Jaylen WarrenPIT,116.5
117,Michael Pittman Jr.PIT,117
118,Mike EvansSF,118.3
119,Chuba HubbardCAR,119.7
120,Tyler AllgeierARI,121.1
121,Quentin JohnstonLAC,122.4
122,Courtland SuttonDEN,123.8
123,Matthew GoldenGB,124.1
124,Blake CorumLAR,126
125,Isaiah LikelyNYG,126.8
126,Jakobi MeyersJAX,127.2
127,Xavier WorthyKC,129
128,Rico DowdlePIT,129.8
129,Eli StowersPHI,130.4
130,Jonah ColemanDEN,131.6
131,Romeo DoubsNE,133.7
132,Rhamondre StevensonNE,134.9
133,Chris BellMIA,135.2
134,Jayden ReedGB,136.4
135,Mason TaylorNYJ,137.9
136,Jalen CokerCAR,138.8
137,Josh DownsIND,139.2
138,Germie BernardPIT,140.7
139,Chris GodwinTB,141.7
140,Juwan JohnsonNO,142.5
141,Woody MarksHOU,143.5
142,J.K. DobbinsDEN,144.7
143,Tua TagovailoaATL,146
144,AJ BarnerSEA,147
145,Khalil ShakirBUF,147.9
146,Kenneth GainwellTB,148.5
147,Jacory Croskey-MerrittWSH,149.9
148,Michael Penix Jr.ATL,150.1
149,Jalen McMillanTB,150.9
150,J.J. McCarthyMIN,151.8
151,Nicholas SingletonTEN,152.1
152,Mark AndrewsBAL,154
153,Jonathon BrooksCAR,154.5
154,Brandon AiyukSF,156
155,Trey BensonARI,156.2
156,Elijah SarrattBAL,157.1
157,Jauan JenningsMIN,158.5
158,Jacoby BrissettARI,159.2
159,Dallas GoedertPHI,160.2
160,T.J. HockensonMIN,162
161,Shedeur SandersCLE,163
162,Terrance FergusonLAR,163.2
163,Chris Brazzell IICAR,164.2
164,Tre HarrisLAC,165.1
165,Gunnar HelmTEN,166.3
166,Tony PollardTEN,167.3
167,Jordan MasonMIN,168.1
168,Travis KelceKC,169.9
169,Rashid ShaheedSEA,171.9
170,Pat BryantDEN,172.2
171,Troy FranklinDEN,173.5
172,Theo JohnsonNYG,174.5
173,Dalton SchultzHOU,175.5
174,Hunter HenryNE,176.1
175,Tyrone Tracy Jr.NYG,177.7
176,Rachaad WhiteWSH,178.7
177,Kayshon BoutteNE,179.9
178,Chig OkonkwoWSH,181
179,Mac JonesSF,182
180,Anthony Richardson Sr.IND,182.5
181,Braelon AllenNYJ,183.1
182,Emmett JohnsonKC,184
183,Chimere DikeTEN,186
184,Geno SmithNYJ,186
185,David NjokuLAC,187.4
186,Zachariah BranchATL,188.3
187,Jerry JeudyCLE,189
188,Isaac TeSlaaDET,190
189,Tyjae SpearsTEN,192
190,Dylan SampsonCLE,192.3
191,Mike Washington Jr.LV,194
192,Elic AyomanorTEN,194
193,Deebo Samuel,195.4
194,Adonai MitchellNYJ,196.2
195,Tyreek Hill,197.3
196,Kaleb JohnsonPIT,198.9
197,Tank BigsbyPHI,199.2
198,Antonio WilliamsWSH,200.2
199,Stefon Diggs,202
200,Isiah PachecoDET,202.7
201,Jake TongesSF,203.7
202,Jaylin NoelHOU,204.7
203,Pat FreiermuthPIT,206
204,Malachi FieldsNYG,206.3
205,Aaron Jones Sr.MIN,207.8
206,Kimani VidalLAC,208
207,Cade OttonTB,210
208,Chris Rodriguez Jr.JAX,210.8
209,Tank DellHOU,211.7
210,Kyle WilliamsNE,212.7
211,James ConnerARI,213.8
212,Emanuel WilsonSEA,214.9
213,Justin FieldsKC,216
214,Ted HurstTB,216.4
215,Keaton MitchellLAC,217.2
216,Brian Robinson Jr.ATL,218.1
217,Aaron RodgersPIT,219.7
218,Tory HortonSEA,220.7
219,Keon ColemanBUF,221
220,Alvin KamaraNO,221.7
221,Elijah ArroyoSEA,223
222,Kaytron AllenWSH,223.7
223,Jalen NailorLV,224.2
224,Devin NealNO,225.8
225,Jalen MilroeSEA,228
226,Jack BechLV,228.9
227,Ollie Gordon IIMIA,229.5
228,Sean TuckerTB,230
229,Michael MayerLV,232
230,Ja'Kobi LaneBAL,232.5
231,Colby ParkinsonLAR,233.8
232,Tre TuckerLV,234.8
233,Malik WashingtonMIA,236
234,Kirk CousinsLV,238
235,Darnell MooneyNYG,238.9
236,Carson BeckARI,239.1
237,Will HowardPIT,240.5
238,Jaydon BlueDAL,241.2
239,Jaylen WrightMIA,242.3
240,Ray DavisBUF,243.6
241,Skyler BellBUF,244
242,Isaiah BondCLE,246
243,Garrett NussmeierKC,246.2
244,Drew AllarPIT,247
245,Tez JohnsonTB,247.5
246,Brashard SmithKC,248.1
247,DJ GiddensIND,249.7
248,Evan EngramDEN,250.4
249,Jordan JamesSF,251.9
250,Max KlareLAR,252.1
251,Devaughn VeleNO,253.3
252,Ja'Tavion SandersCAR,255
253,Najee Harris,255.9
254,Xavier LegetteCAR,257
255,Ryan FlournoyDAL,257.5
256,Quinn EwersMIA,258.4
257,Marvin Mims Jr.DEN,259.3
258,Deshaun WatsonCLE,260.9
259,Calvin RidleyTEN,261.4
260,Ben SinnottWSH,262.4
261,Christian KirkSF,264.4
262,Cade KlubnikNYJ,265.1
263,LeQuint Allen Jr.JAX,266.7
264,Dontayvion WicksPHI,268
265,Hollywood BrownPHI,268.3
266,Rashod BatemanBAL,269.6
267,Kevin Coleman Jr.MIA,270.6
268,Dont'e Thornton Jr.LV,271.8
269,Joe Mixon,272.5
270,Marcus MariotaWSH,275.8
271,Demond ClaiborneMIN,276.7
272,Riley LeonardIND,278
273,Cole KmetCHI,279.8
274,Isaiah DavisNYJ,280.5
275,Noah GrayKC,282
276,Mike GesickiCIN,282
277,Brenen ThompsonLAC,283.1
278,Cedric TillmanCLE,283.5
279,Le'Veon Moss,284.3
280,Oscar DelpNO,285
281,Tyquan ThorntonKC,285.7
282,Kendre MillerNO,287
283,Jahan DotsonATL,287.5
284,Jalen RoyalsKC,288.9
285,Adam RandallBAL,289.1
286,Darnell WashingtonPIT,289.7
287,Cooper KuppSEA,290.8
288,Keenan Allen,292.4
289,DeMario DouglasNE,293.5
290,Jameis WinstonNYG,295.6
291,Trevor EtienneCAR,297
292,Joe Milton IIIDAL,298
293,Tyson BagentCHI,298.1
294,J'Mari TaylorJAX,310.4
295,Michael TriggDAL,311.3
296,Jam MillerNE,312.4
297,Deion BurksIND,314.2
298,Jack EndriesCIN,319
299,C.J. DanielsLAR,320
300,Noah ThomasCIN,323
301,CJ DonaldsonNO,323.4
302,Dane KeyDEN,323.9
303,Trebor PenaJAX,325.7
304,Aaron AndersonCLE,326.1
305,Eric McAlister,326.6
306,Justin JolyDEN,327.1
307,Josh CameronJAX,327.5
308,Taylen GreenCLE,328.4
309,Eric RiversTB,328.9
310,Dean ConnorsLAR,332.4
311,Sam RoushCHI,332.9
312,Marlin KleinHOU,334.7
313,Desmond ReidBUF,335.6
