#,Player,Consensus,Sleeper,ESPN,Yahoo,Underdog,FantasyPros
1,Josh AllenBUF,1.2,1.2,—,—,—,—
2,Bijan RobinsonATL,2.4,2.4,—,—,—,—
3,Drake MayeNE,3.5,3.5,—,—,—,—
4,Jahmyr GibbsDET,4.5,4.5,—,—,—,—
5,Ja'Marr ChaseCIN,5.2,5.2,—,—,—,—
6,Puka NacuaLAR,6.4,6.4,—,—,—,—
7,Jaxon Smith-NjigbaSEA,7.2,7.2,—,—,—,—
8,Jayden DanielsWSH,8,8,—,—,—,—
9,Christian McCaffreySF,9.7,9.7,—,—,—,—
10,Joe BurrowCIN,10.4,10.4,—,—,—,—
11,Lamar JacksonBAL,11.1,11.1,—,—,—,—
12,Jonathan TaylorIND,12.5,12.5,—,—,—,—
13,James CookBUF,13.8,13.8,—,—,—,—
14,Caleb WilliamsCHI,14.2,14.2,—,—,—,—
15,CeeDee LambDAL,15.6,15.6,—,—,—,—
16,Amon-Ra St. BrownDET,16.3,16.3,—,—,—,—
17,Justin JeffersonMIN,17.6,17.6,—,—,—,—
18,Drake LondonATL,18.6,18.6,—,—,—,—
19,Kenneth Walker IIIKC,19.4,19.4,—,—,—,—
20,Ashton JeantyLV,20.5,20.5,—,—,—,—
21,De'Von AchaneMIA,21.2,21.2,—,—,—,—
22,Trey McBrideARI,22.3,22.3,—,—,—,—
23,Jaxson DartNYG,23.2,23.2,—,—,—,—
24,Justin HerbertLAC,24.9,24.9,—,—,—,—
25,Jalen HurtsPHI,25.3,25.3,—,—,—,—
26,Patrick MahomesKC,26.1,26.1,—,—,—,—
27,Omarion HamptonLAC,27.9,27.9,—,—,—,—
28,Malik NabersNYG,28.4,28.4,—,—,—,—
29,Saquon BarkleyPHI,29.3,29.3,—,—,—,—
30,Jeremiyah LoveARI,31,31,—,—,—,—
31,Trevor LawrenceJAX,32,32,—,—,—,—
32,Nico CollinsHOU,32.7,32.7,—,—,—,—
33,Bo NixDEN,33.4,33.4,—,—,—,—
34,Chase BrownCIN,34.5,34.5,—,—,—,—
35,George PickensDAL,35.9,35.9,—,—,—,—
36,Brock PurdySF,36.2,36.2,—,—,—,—
37,Brock BowersLV,37.4,37.4,—,—,—,—
38,Chris OlaveNO,39,39,—,—,—,—
39,Fernando MendozaLV,39.5,39.5,—,—,—,—
40,Josh JacobsGB,40.1,40.1,—,—,—,—
41,A.J. BrownNE,41.4,41.4,—,—,—,—
42,Bucky IrvingTB,42.1,42.1,—,—,—,—
43,Rashee RiceKC,44,44,—,—,—,—
44,Dak PrescottDAL,44.1,44.1,—,—,—,—
45,Derrick HenryBAL,45.7,45.7,—,—,—,—
46,Tee HigginsCIN,46.5,46.5,—,—,—,—
47,Tetairoa McMillanCAR,47.2,47.2,—,—,—,—
48,Breece HallNYJ,48.4,48.4,—,—,—,—
49,Jordan LoveGB,50,50,—,—,—,—
50,Kyren WilliamsLAR,50.6,50.6,—,—,—,—
51,Garrett WilsonNYJ,51.4,51.4,—,—,—,—
52,Luther Burden IIICHI,52.8,52.8,—,—,—,—
53,Travis Etienne Jr.NO,54,54,—,—,—,—
54,Javonte WilliamsDAL,54.8,54.8,—,—,—,—
55,Jaylen WaddleDEN,55.3,55.3,—,—,—,—
56,Davante AdamsLAR,56.5,56.5,—,—,—,—
57,Ladd McConkeyLAC,57.3,57.3,—,—,—,—
58,Colston LovelandCHI,58.4,58.4,—,—,—,—
59,Zay FlowersBAL,60,60,—,—,—,—
60,Jameson WilliamsDET,60.9,60.9,—,—,—,—
61,TreVeyon HendersonNE,61.5,61.5,—,—,—,—
62,DeVonta SmithPHI,63,63,—,—,—,—
63,Emeka EgbukaTB,63.7,63.7,—,—,—,—
64,Baker MayfieldTB,64,64,—,—,—,—
65,Jared GoffDET,65.1,65.1,—,—,—,—
66,Terry McLaurinWSH,67,67,—,—,—,—
67,Tyler WarrenIND,67.4,67.4,—,—,—,—
68,RJ HarveyDEN,68.3,68.3,—,—,—,—
69,DJ MooreBUF,69.9,69.9,—,—,—,—
70,Cam SkatteboNYG,70.8,70.8,—,—,—,—
71,Cameron WardTEN,72,72,—,—,—,—
72,Mike EvansSF,73.1,73.1,—,—,—,—
73,Carnell TateTEN,74.2,74.2,—,—,—,—
74,D'Andre SwiftCHI,75.3,75.3,—,—,—,—
75,C.J. StroudHOU,76.4,76.4,—,—,—,—
76,Quinshon JudkinsCLE,77.3,77.3,—,—,—,—
77,Tyler ShoughNO,78.9,78.9,—,—,—,—
78,Harold Fannin Jr.CLE,79.7,79.7,—,—,—,—
79,Sam DarnoldSEA,80.8,80.8,—,—,—,—
80,Christian WatsonGB,81.2,81.2,—,—,—,—
81,David MontgomeryHOU,82.7,82.7,—,—,—,—
82,Jaylen WarrenPIT,83.7,83.7,—,—,—,—
83,Kyler MurrayMIN,84.7,84.7,—,—,—,—
84,Rome OdunzeCHI,85.8,85.8,—,—,—,—
85,Jordyn TysonNO,86.9,86.9,—,—,—,—
86,Bryce YoungCAR,87.3,87.3,—,—,—,—
87,Matthew StaffordLAR,88.4,88.4,—,—,—,—
